ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
6,0,25,232,5,-102.0221,22.20887,-0.04775409656753653,0,-0.1587591861129243,4,-0.10621747617946996,1,1,-0.05147181247752082,3,-0.3732055403633575,1,-0.17274728925409422,4,-0.015952617456377938,2,-0.09996308515860305,0,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.05804250623366009,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,9,232,5,-102.20075,21.99958,-0.030602446393206795,0,-0.4261321564929942,0,-0.16379281882380864,3,1,-0.07580401105161395,3,-0.4530188173324966,1,-0.17274728925409422,4,0.17180578875647037,1,-0.17668319193020957,0,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,94,228,5,-102.28801,22.36685,-0.2627500315027599,0,-0.48733801718240777,0,-0.20142423746745347,3,1,0.37896893964836975,0,-0.6320450461871736,1,-0.17274728925409422,4,-0.3439671362518372,2,0.49390737096235116,1,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Rojo,102,2,2,2,2,0.0,2,1.0,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0,284,228,5,-102.29449,22.18435,0.784186695138327,0,-0.36331561525912237,0,-0.1517100035533153,3,1,0.02459230400516765,3,-0.4117561050605216,1,-0.17274728925409422,4,-0.36690012171058206,2,-0.11985348321050103,0,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,220,5,-110.2448,23.45138,0.6374114487715001,0,0.5668523991655184,4,0.10319372582781484,0,0,-0.4374075176388309,1,0.35938932136080853,1,-0.0314357712220311,0,1.3618537750781106,0,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Rojo,117,2,2,2,2,1.0,2,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,220,5,-110.22067,23.46493,-0.09504977192325088,0,-0.4564934847560323,0,-0.1239777588662192,1,1,-0.41593487231596665,1,-0.4061921117698618,1,2.8152674550878984,2,0.5083092038826598,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Rojo,34,2,2,2,2,1.0,2,0.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,220,5,-110.21396,23.4746,-0.27346981286171596,0,-0.4881433574546369,0,-0.22442525930766966,3,1,-0.40896796075842723,1,-0.5053321534702364,1,-0.11966407327033544,1,0.044234265617346474,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,206,18,5,-109.907306,22.8905,0.987948299209364,0,0.8988941934055873,1,0.09635164971078852,0,0,-0.26770603014772004,2,-0.21892758855804315,1,0.2157009643497385,0,2.792571333585928,0,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.1816939803099654,0,-0.061637561791797094,0,Rojo,60,2,1,2,2,1.0,2,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,66,5,-110.088778,23.799861,0.9270170619650575,0,-0.01862997874505634,4,-0.08132396520050181,1,1,-0.3813602739147446,1,0.155855808664217,1,-0.10211590269719203,1,-0.29269073378908245,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.1625621488493706,0,-0.04496300762013657,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,121,5,-110.054722,23.824722,0.8322541947518861,0,0.455715441597899,4,0.044526562526503895,0,0,-0.2946898144638617,2,0.5876766767697524,0,1.7146072008057376,2,-0.5006959799300225,2,9.552562940883892,1,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,2.9083625204574965,1,2.465885217242525,1,Rojo,91,2,2,2,2,1.0,1,0.0,2,0.0,1.0,1.0,1.0,1.0,0.0,0.0
10,2,197,121,5,-109.907091,23.94632,-0.8492507092139648,3,0.1545181797842058,4,-0.08161511737569441,1,1,-0.3031644904629583,2,-0.3479352041255745,1,-0.0002390235364428322,0,0.15683948683865112,1,-0.2732936967537141,2,-0.03321868948261033,1,-0.05168195059338879,1,-0.1229118744347359,1,-0.08656199744644805,1,-0.18860269722629133,0,-0.06962255956414155,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2,197,66,5,-110.108253,23.807347,0.10258011721046356,0,0.42752853206987956,4,0.013009339561903883,1,1,-0.22902407344018738,2,-0.4143691838341184,1,-0.17274728925409422,4,-0.4979704945291224,2,-0.2732936967537141,2,-0.03321868948261033,1,-0.0536259759531187,1,-0.1229118744347359,1,-0.08656199744644805,1,0.022113168721648927,0,-0.03815227422607806,0,Verde,42,2,2,2,2,1.0,2,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
